Index	Baxter	polyhedron
1	tuwng	tung
2	duwng	dung
3	trjuwng	triung
4	drjuwng	driung
5	tsyuwng	cjung
6	trhjuwng	thriung
7	dzrjuwng	zriung
8	sjuwng	siung
9	nyuwng	njung
10	kjuwng	kiung
11	yuwng	jung
12	hjuwng	iung
13	mjuwng	miung
14	khjuwng	khiung
15	gjuwng	giung
16	bjuwng	biung
17	pjuwng	piung
18	phjuwng	phiung
19	tsyhuwng	chjung
20	ljuwng	liung
21	khuwng	khung
22	kuwng	kung
23	muwng	mung
24	luwng	lung
25	huwng	ghung
26	dzuwng	zung
27	'uwng	qung
28	tshuwng	chung
29	thuwng	thung
30	tsuwng	cung
31	buwng	bung
32	xuwng	hung
33	nguwng	ngung
34	suwng	sung
35	towng	tuung
36	downg	duung
37	dzowng	zuung
38	nowng	nuung
39	kowng	kuung
40	howng	ghuung
41	lowng	luung
42	tsowng	cuung
43	sowng	suung
44	thowng	thuung
45	tsyowng	cjyung
46	ljowng	lyung
47	syowng	sjyung
48	zjowng	zsyung
49	tsyhowng	chjyung
50	yowng	jyung
51	pjowng	pyung
52	xjowng	hyung
53	ngjowng	ngyung
54	'jowng	qyung
55	nrjowng	nryung
56	drjowng	dryung
57	dzjowng	zyung
58	trhjowng	thryung
59	bjowng	byung
60	phjowng	phyung
61	tsjowng	cyung
62	nyowng	njyung
63	gjowng	gyung
64	dzyowng	zjyung
65	kjowng	kyung
66	sjowng	syung
67	tshjowng	chyung
68	khjowng	khyung
69	kaewng	krung
70	maewng	mrung
71	nraewng	nrung
72	tsrhaewng	chrung
73	paewng	prung
74	haewng	ghrung
75	phaewng	phrung
76	laewng	lrung
77	sraewng	srung
78	baewng	brung
79	xaewng	hrung
80	'aewng	qrung
81	khaewng	khrung
82	draewng	drung
83	trhaewng	thrung
84	traewng	trung
85	ngaewng	ngrung
86	dzraewng	zrung
87	tsye	cje
88	ye	je
89	hjwe	ye
90	kjwe	kye
91	xjwe	hye
92	'jwe	qye
93	mje	mie
94	xjwie	hjye
95	drjwe	drye
96	dzywe	zjye
97	ljwe	lye
98	tsyhwe	chjye
99	phje	phie
100	pje	pie
101	zjwe	zsye
102	khjwe	khye
103	khjwie	khjye
104	gje	gie
105	gjie	gje
106	xje	hie
107	khje	khie
108	ngje	ngie
109	bje	bie
110	dzye	zje
111	nye	nje
112	lje	lie
113	dzje	zie
114	tsje	cie
115	kje	kie
116	pjie	pje
117	bjie	bje
118	sye	sje
119	sje	sie
120	tsrhje	chrie
121	trhje	thrie
122	mjie	mje
123	tshje	chie
124	trje	trie
125	'je	qie
126	drje	drie
127	sjwe	sye
128	ngjwe	ngye
129	xjie	hje
130	srje	srie
131	srjwe	srye
132	nywe	njye
133	tsje	cie
134	kjwie	kjye
135	tsjwe	cye
136	tsrhjwe	chrye
137	trjwe	trye
138	tsjwe	cye
139	tsyhe	chje
140	tsrje	crie
141	phjie	phje
142	ywe	jye
143	dzrje	zrie
144	tsyij	cjii
145	yij	jii
146	srij	srii
147	bjij	bjii
148	tsij	cii
149	kjij	kjii
150	tsyhij	chjii
151	trhij	thrii
152	tshij	chii
153	dzij	zii
154	nrij	nrii
155	drij	drii
156	sij	sii
157	syij	sjii
158	gij	gii
159	'jij	qjii
160	lij	lii
161	gjwij	gjyi
162	trwij	tryi
163	kwij	kyi
164	nywij	njyi
165	srwij	sryi
166	ywij	jyi
167	lwij	lyi
168	swij	syi
169	gwij	gyi
170	mij	mii
171	pij	pii
172	tsywij	cjyi
173	dzywij	zjyi
174	hwij	yi
175	bij	bii
176	phij	phii
177	xjwij	hjyi
178	drwij	dryi
179	tsyhwij	chjyi
180	trij	trii
181	phjij	phjii
182	tswij	cyi
183	khwij	khyi
184	ngjij	ngjii
185	xjij	hjii
186	tsyi	cji
187	yi	ji
188	dzyi	zji
189	ngi	ngi
190	si	si
191	tsrhi	chri
192	gi	gi
193	syi	sji
194	nyi	nji
195	khi	khi
196	ki	ki
197	zi	zsi
198	li	li
199	tsri	cri
200	xi	hi
201	'i	qi
202	trhi	thri
203	dri	dri
204	tsyhi	chji
205	dzi	zi
206	tsi	ci
207	dzri	zri
208	zri	zsri
209	khi	khi
210	syi	sji
211	mj+j	myoi
212	xjw+j	hyoi
213	hjw+j	yoi
214	phj+j	phyoi
