廣韻字號	小韻號	字	IPA	Baxter transcription	Baxter Sagart gloss (rough meaning only)	廣韻 gloss
20975	3291	⌸艹大雨	tsʰit	tshit		俗「桼」(膠桼說文曰木汁可以䰍物从木象形桼如水滴而下也經典通用漆)
20845	3276	⿰隺犬	kʰɣɔk	khaewk		至也髙也
13590	1883	⿱⿰来攵正	tɕie̋ŋ	tsyengX		俗「整」(正也齊也之郢切二)
24914	3817	⿱入疌	ɳiep	nrjep		織⿱入?疌
5042	576	⿱𥫗瀸	dzen	dzen		上同「𥮒」(說文曰蔽絮簀也或作⿱𥫗汧)
20966	3290	一	ʔjit	'jit	one	數之始也物之極也同也少也初也又虜三字姓後魏書一那婁氏後改爲婁氏於悉切三
7766	895	丁	ʈɣɛŋ	treang	sound of beating	上同「朾」(伐木聲也中莖切七)詩曰伐木丁丁
8043	935	丁	teŋ	teng	4th heavenly stem	當也亦辰名爾雅云太歳在下曰強圉又姓本自姜姓齊太公子伋諡丁公因以命族出濟陽濟隂二望當經切八
12910	1729	丂	kʰɑ̋w	khawX	to sob	氣欲舒皃
20969	3291	七	tsʰit	tshit	seven	數也親吉切十
13352	1827	丄	dʑiɑ̋ŋ	dzyangX		古文「上」(登也升也時掌切又音尚二)
18892	2905	丄	dʑiɑŋʱ	dzyangH		古文「上」(君也猶天子也又時兩切)
13125	1772	丅	ɦɣa̋	haeX		古文「下」(賤也去也後也底也降也胡雅切四)
17360	2599	万	mwiɐnʱ	mjonH		十千又虜三字姓二氏西魏有柱國万紐于謹周書唐瑾樊深並賜姓万紐于氏無販切十八
24350	3732	万	mək	mok		虜複姓北齊特進互俟普俟音其
13298	1814	丈	ɖiɑ̋ŋ	drjangX	ten feet	說苑曰十尺爲丈直兩切四
9379	1090	三	sɑm	sam	three	數名又漢複姓五氏三閭氏三閭大夫屈原之後也沛上計三烏群三烏大夫之後也三飯尞之後有三飯氏三州孝子之後有三州氏後單姓州蜀志有三丘務蘇甘切五
19755	3127	三	sɑmʱ	samH	three times	三思蘇暫切又蘇甘切一
13351	1827	上	dʑiɑ̋ŋ	dzyangX	ascend	登也升也時掌切又音尚二
18891	2905	上	dʑiɑŋʱ	dzyangH	top, above (n.)	君也猶天子也又時兩切
13124	1772	下	ɦɣa̋	haeX	down	賤也去也後也底也降也胡雅切四
18729	2870	下	ɦɣaʱ	haeH	descend	行下又胡雅切
8638	1005	不	piu	pjuw	not	弗也又姓晉書有汲郡人不準盜發六國時魏王冢得古文竹書今之汲冢記也甫鳩切又甫九甫救二切五
13833	1938	不	piű	pjuwX		弗也說文作𠀚鳥飛上翔不下來也从一一天也象形又甫鳩甫救二切
21332	3341	不	piut	pjut		與弗同又府鳩方久二切
10625	1327	与	jiɤ̋	yoX	give; for; and	上同「與」(善也待也說文曰黨與也余吕切又余譽二音七)
12154	1610	丏	me̋n	menX		不見也
16437	2423	丐	kɑiʱ	kajH		上同「匃」(乞也[丏/丐])本又音緬
13786	1930	丑	ʈʰiű	trhjuwX	2d earthly branch	辰名爾雅曰太歳在丑曰赤奮若敕久切三
2195	245	且	tsiɤ	tsjo	[final particle]	語辝也說文薦也子魚切又七也切四
13134	1776	且	tsʰia̋	tshjaeX	moreover	語辝七也切又子余切一
1570	176	丕	pʰi	phij	great	大也亦姓左傳晉大夫丕鄭敷悲切十二
16397	2410	丗	ɕieiʱ	syejH		代也又姓風俗通云戰國時有秦大夫丗鈞舒制切三
